service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"MF11-64-L13-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-64-L14-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-64-L15-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-67-G30-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-67-G31-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-67-G32-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-67-G40-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-67-G41-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-67-G42-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-67-G45-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-67-G49-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-67-G52-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-67-G53-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-67-G54-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-67-G55-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-67-G56-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-67-G60-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-67-G61-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-68-G30-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-68-G31-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-68-G32-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-68-G40-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-68-G41-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-68-G42-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-68-G45-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-68-G53-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-68-G55-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-68-G56-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-68-G60-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-68-G61-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-69-G32-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-69-G40-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-69-G41-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-69-G42-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-69-G53-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-69-G54-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-69-G55-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-69-G56-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-69-G60-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-69-G61-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-70-G32-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-70-G42-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-70-G52-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-70-G53-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-70-G54-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-70-G55-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-70-G60-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF1-18-901-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF1-18-902-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF1-18-903-aus","1","0","0","0","0","0","0","20260122","20260426"
"MF12-18-901-aus","0","0","1","0","0","0","0","20260122","20260426"
"MF12-18-902-aus","0","0","1","0","0","0","0","20260122","20260426"
"MF12-18-903-aus","0","0","1","0","0","0","0","20260122","20260426"
"MF12-19-663-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF12-19-664-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF12-19-670-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF12-19-671-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF12-19-672-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF12-19-675-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF12-19-677-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF12-19-679-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF12-19-680-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF12-19-682-aus","1","1","1","0","0","0","0","20260122","20260426"
"MF12-19-688-aus","1","1","1","0","0","0","0","20260122","20260426"
